week,rank,name,assoc,points
2026-W06,5,Tomokazu HARIMOTO,JPN,5785
2026-W06,6,Felix LEBRUN,FRA,4260
2026-W06,7,LIANG Jingkun,CHN,3900
2026-W06,8,Sora MATSUSHIMA,JPN,3305
2026-W06,9,LIN Yun-Ju,TPE,3050
2026-W06,10,Alexis LEBRUN,FRA,2710
2026-W07,1,WANG Chuqin,CHN,9750
2026-W07,2,Hugo CALDERANO,BRA,6050
2026-W07,3,LIN Shidong,CHN,5875
2026-W07,4,Tomokazu HARIMOTO,JPN,5870
2026-W07,5,Truls MOREGARD,SWE,5840
2026-W07,6,Felix LEBRUN,FRA,4260
2026-W07,7,Sora MATSUSHIMA,JPN,3305
2026-W07,8,LIN Yun-Ju,TPE,2875
2026-W07,9,XIANG Peng,CHN,2625
2026-W07,10,LIANG Jingkun,CHN,2590
2026-W08,1,WANG Chuqin,CHN,9750
2026-W08,2,Hugo CALDERANO,BRA,6050
2026-W08,3,LIN Shidong,CHN,5875
2026-W08,4,Tomokazu HARIMOTO,JPN,5870
2026-W08,5,Truls MOREGARD,SWE,5840
2026-W08,6,Felix LEBRUN,FRA,4260
2026-W08,7,Sora MATSUSHIMA,JPN,3305
2026-W08,8,LIN Yun-Ju,TPE,2875
2026-W08,9,XIANG Peng,CHN,2625
2026-W08,10,LIANG Jingkun,CHN,2590
2026-W09,1,WANG Chuqin,CHN,9750
2026-W09,2,Hugo CALDERANO,BRA,6050
2026-W09,3,LIN Shidong,CHN,5875
2026-W09,4,Tomokazu HARIMOTO,JPN,5870
2026-W09,5,Truls MOREGARD,SWE,5840
2026-W09,6,Felix LEBRUN,FRA,4260
2026-W09,7,Sora MATSUSHIMA,JPN,3305
2026-W09,8,LIN Yun-Ju,TPE,2875
2026-W09,9,XIANG Peng,CHN,2625
2026-W09,10,Benedikt DUDA,GER,2450
2026-W10,1,WANG Chuqin,CHN,11225
2026-W10,2,Truls MOREGARD,SWE,6565
2026-W10,3,LIN Shidong,CHN,6105
2026-W10,4,Hugo CALDERANO,BRA,6080
2026-W10,5,Tomokazu HARIMOTO,JPN,5900
2026-W10,6,Felix LEBRUN,FRA,4985
2026-W10,7,LIN Yun-Ju,TPE,4100
2026-W10,8,Sora MATSUSHIMA,JPN,3510
2026-W10,9,XIANG Peng,CHN,2950
2026-W10,10,JANG Woojin,KOR,2616
2026-W11,1,WANG Chuqin,CHN,11225
2026-W11,2,Truls MOREGARD,SWE,6565
2026-W11,3,LIN Shidong,CHN,6105
2026-W11,4,Hugo CALDERANO,BRA,6080
2026-W11,5,Tomokazu HARIMOTO,JPN,5900
2026-W11,6,Felix LEBRUN,FRA,4985
2026-W11,7,LIN Yun-Ju,TPE,4100
2026-W11,8,Sora MATSUSHIMA,JPN,3510
2026-W11,9,XIANG Peng,CHN,2950
2026-W11,10,JANG Woojin,KOR,2616
2026-W12,1,WANG Chuqin,CHN,10750
2026-W12,2,Truls MOREGARD,SWE,6565
2026-W12,3,Hugo CALDERANO,BRA,6080
2026-W12,4,Tomokazu HARIMOTO,JPN,6000
2026-W12,5,LIN Shidong,CHN,5755
2026-W12,6,Felix LEBRUN,FRA,5720
2026-W12,7,LIN Yun-Ju,TPE,4225
2026-W12,8,Sora MATSUSHIMA,JPN,3785
2026-W12,9,XIANG Peng,CHN,2950
2026-W12,10,JANG Woojin,KOR,2616
2026-W13,1,WANG Chuqin,CHN,10750
2026-W13,2,Truls MOREGARD,SWE,6565
2026-W13,3,Hugo CALDERANO,BRA,6080
2026-W13,4,Tomokazu HARIMOTO,JPN,6000
2026-W13,5,LIN Shidong,CHN,5755
2026-W13,6,Felix LEBRUN,FRA,5720
2026-W13,7,LIN Yun-Ju,TPE,4225
2026-W13,8,Sora MATSUSHIMA,JPN,3785
2026-W13,9,XIANG Peng,CHN,2950
2026-W13,10,JANG Woojin,KOR,2616
2026-W14,1,WANG Chuqin,CHN,10750
2026-W14,2,Truls MOREGARD,SWE,6565
2026-W14,3,Hugo CALDERANO,BRA,6080
2026-W14,4,Tomokazu HARIMOTO,JPN,6000
2026-W14,5,LIN Shidong,CHN,5755
2026-W14,6,Felix LEBRUN,FRA,5720
2026-W14,7,LIN Yun-Ju,TPE,4225
2026-W14,8,Sora MATSUSHIMA,JPN,3785
2026-W14,9,XIANG Peng,CHN,2950
2026-W14,10,JANG Woojin,KOR,2616
2026-W15,1,WANG Chuqin,CHN,11725
2026-W15,2,Truls MOREGARD,SWE,6750
2026-W15,3,Hugo CALDERANO,BRA,6380
2026-W15,4,Tomokazu HARIMOTO,JPN,6070
2026-W15,5,LIN Shidong,CHN,5755
2026-W15,6,Felix LEBRUN,FRA,5720
2026-W15,7,Sora MATSUSHIMA,JPN,4630
2026-W15,8,LIN Yun-Ju,TPE,4555
2026-W15,9,JANG Woojin,KOR,2826
2026-W15,10,Dang QIU,GER,2775
2026-W16,1,WANG Chuqin,CHN,11725
2026-W16,2,Truls MOREGARD,SWE,6750
2026-W16,3,Hugo CALDERANO,BRA,6380
2026-W16,4,Tomokazu HARIMOTO,JPN,6070
2026-W16,5,LIN Shidong,CHN,5755
2026-W16,6,Felix LEBRUN,FRA,5720
2026-W16,7,LIN Yun-Ju,TPE,4555
2026-W16,8,Sora MATSUSHIMA,JPN,4435
2026-W16,9,JANG Woojin,KOR,2826
2026-W16,10,Dang QIU,GER,2775
2026-W17,1,WANG Chuqin,CHN,11725
2026-W17,2,Truls MOREGARD,SWE,6750
2026-W17,3,Tomokazu HARIMOTO,JPN,6070
2026-W17,4,Felix LEBRUN,FRA,5720
2026-W17,5,Hugo CALDERANO,BRA,5260
2026-W17,6,LIN Shidong,CHN,4961
2026-W17,7,LIN Yun-Ju,TPE,4555
2026-W17,8,Sora MATSUSHIMA,JPN,4435
2026-W17,9,JANG Woojin,KOR,2826
2026-W17,10,Dang QIU,GER,2775
2026-W18,1,WANG Chuqin,CHN,11725
2026-W18,2,Truls MOREGARD,SWE,6750
2026-W18,3,Tomokazu HARIMOTO,JPN,6070
2026-W18,4,Felix LEBRUN,FRA,5620
2026-W18,5,Hugo CALDERANO,BRA,5260
2026-W18,6,LIN Shidong,CHN,4961
2026-W18,7,LIN Yun-Ju,TPE,4555
2026-W18,8,Sora MATSUSHIMA,JPN,4435
2026-W18,9,JANG Woojin,KOR,2826
2026-W18,10,Dang QIU,GER,2775
2026-W19,1,WANG Chuqin,CHN,11725
2026-W19,2,Truls MOREGARD,SWE,6750
2026-W19,3,Tomokazu HARIMOTO,JPN,6070
2026-W19,4,Felix LEBRUN,FRA,5620
2026-W19,5,Hugo CALDERANO,BRA,5260
2026-W19,6,LIN Shidong,CHN,4961
2026-W19,7,LIN Yun-Ju,TPE,4555
2026-W19,8,Sora MATSUSHIMA,JPN,4435
2026-W19,9,JANG Woojin,KOR,2826
2026-W19,10,Dang QIU,GER,2775
2026-W20,1,WANG Chuqin,CHN,12152
2026-W20,2,Truls MOREGARD,SWE,6750
2026-W20,3,Tomokazu HARIMOTO,JPN,6333
2026-W20,4,Felix LEBRUN,FRA,5699
2026-W20,5,LIN Shidong,CHN,5276
2026-W20,6,Hugo CALDERANO,BRA,5260
2026-W20,7,LIN Yun-Ju,TPE,4720
2026-W20,8,Sora MATSUSHIMA,JPN,4598
2026-W20,9,JANG Woojin,KOR,2826
2026-W20,10,Dang QIU,GER,2793
2026-W21,1,WANG Chuqin,CHN,12152
2026-W21,2,Truls MOREGARD,SWE,6750
2026-W21,3,Tomokazu HARIMOTO,JPN,6333
2026-W21,4,Felix LEBRUN,FRA,5699
2026-W21,5,LIN Shidong,CHN,5276
2026-W21,6,Hugo CALDERANO,BRA,5260
2026-W21,7,LIN Yun-Ju,TPE,4720
2026-W21,8,Sora MATSUSHIMA,JPN,4598
2026-W21,9,JANG Woojin,KOR,2826
2026-W21,10,Dang QIU,GER,2793
2026-W22,1,WANG Chuqin,CHN,10677
2026-W22,2,Tomokazu HARIMOTO,JPN,6333
2026-W22,3,Truls MOREGARD,SWE,6255
2026-W22,4,Felix LEBRUN,FRA,5699
2026-W22,5,LIN Shidong,CHN,5182
2026-W22,6,Sora MATSUSHIMA,JPN,4598
2026-W22,7,LIN Yun-Ju,TPE,4580
2026-W22,8,Hugo CALDERANO,BRA,4210
2026-W22,9,JANG Woojin,KOR,2796
2026-W22,10,Dang QIU,GER,2793
2026-W23,1,WANG Chuqin,CHN,10677
2026-W23,2,Tomokazu HARIMOTO,JPN,6333
2026-W23,3,Truls MOREGARD,SWE,6255
2026-W23,4,Felix LEBRUN,FRA,5699
2026-W23,5,LIN Shidong,CHN,5182
2026-W23,6,Sora MATSUSHIMA,JPN,4598
2026-W23,7,LIN Yun-Ju,TPE,4580
2026-W23,8,Hugo CALDERANO,BRA,4210
2026-W23,9,JANG Woojin,KOR,2796
2026-W23,10,Dang QIU,GER,2793
2026-W24,1,WANG Chuqin,CHN,10677
2026-W24,2,Tomokazu HARIMOTO,JPN,6333
2026-W24,3,Truls MOREGARD,SWE,6255
2026-W24,4,Felix LEBRUN,FRA,5699
2026-W24,5,LIN Shidong,CHN,5182
2026-W24,6,Sora MATSUSHIMA,JPN,4598
2026-W24,7,LIN Yun-Ju,TPE,4580
2026-W24,8,Hugo CALDERANO,BRA,4210
2026-W24,9,JANG Woojin,KOR,2796
2026-W24,10,Dang QIU,GER,2793
2026-W25,1,WANG Chuqin,CHN,10677
2026-W25,2,Tomokazu HARIMOTO,JPN,6333
2026-W25,3,Truls MOREGARD,SWE,6255
2026-W25,4,Felix LEBRUN,FRA,5699
2026-W25,5,LIN Shidong,CHN,5182
2026-W25,6,Sora MATSUSHIMA,JPN,4598
2026-W25,7,LIN Yun-Ju,TPE,4580
2026-W25,8,Hugo CALDERANO,BRA,4210
2026-W25,9,Dang QIU,GER,2798
2026-W25,10,JANG Woojin,KOR,2796
