week,rank,name,assoc,points
2025-W49,1,SUN Yingsha,CHN,11600
2025-W49,2,WANG Manyu,CHN,6854
2025-W49,3,CHEN Xingtong,CHN,5375
2025-W49,4,KUAI Man,CHN,4730
2025-W49,5,WANG Yidi,CHN,4275
2025-W49,6,Miwa HARIMOTO,JPN,4000
2025-W49,7,ZHU Yuling,MAC,3765
2025-W49,8,Mima ITO,JPN,3240
2025-W49,9,CHEN Yi,CHN,3185
2025-W49,10,Hina HAYATA,JPN,3100
2025-W50,1,SUN Yingsha,CHN,11600
2025-W50,2,WANG Manyu,CHN,7013
2025-W50,3,CHEN Xingtong,CHN,5375
2025-W50,4,KUAI Man,CHN,4730
2025-W50,5,WANG Yidi,CHN,4275
2025-W50,6,Miwa HARIMOTO,JPN,4000
2025-W50,7,ZHU Yuling,MAC,3765
2025-W50,8,Mima ITO,JPN,3240
2025-W50,9,CHEN Yi,CHN,3185
2025-W50,10,Hina HAYATA,JPN,3100
2025-W51,1,SUN Yingsha,CHN,11600
2025-W51,2,WANG Manyu,CHN,8248
2025-W51,3,KUAI Man,CHN,5605
2025-W51,4,CHEN Xingtong,CHN,5375
2025-W51,5,WANG Yidi,CHN,4275
2025-W51,6,Miwa HARIMOTO,JPN,4000
2025-W51,7,ZHU Yuling,MAC,3765
2025-W51,8,CHEN Yi,CHN,3570
2025-W51,9,Mima ITO,JPN,3250
2025-W51,10,Hina HAYATA,JPN,3100
2025-W52,1,SUN Yingsha,CHN,11600
2025-W52,2,WANG Manyu,CHN,8248
2025-W52,3,KUAI Man,CHN,5605
2025-W52,4,CHEN Xingtong,CHN,5375
2025-W52,5,WANG Yidi,CHN,4275
2025-W52,6,Miwa HARIMOTO,JPN,4000
2025-W52,7,ZHU Yuling,MAC,3765
2025-W52,8,CHEN Yi,CHN,3570
2025-W52,9,Mima ITO,JPN,3250
2025-W52,10,Hina HAYATA,JPN,3100
2026-W01,1,SUN Yingsha,CHN,11600
2026-W01,2,WANG Manyu,CHN,8248
2026-W01,3,KUAI Man,CHN,5605
2026-W01,4,CHEN Xingtong,CHN,5375
2026-W01,5,WANG Yidi,CHN,4275
2026-W01,6,Miwa HARIMOTO,JPN,4000
2026-W01,7,ZHU Yuling,MAC,3765
2026-W01,8,CHEN Yi,CHN,3570
2026-W01,9,Mima ITO,JPN,3250
2026-W01,10,Hina HAYATA,JPN,3100
2026-W02,1,SUN Yingsha,CHN,11600
2026-W02,2,WANG Manyu,CHN,8248
2026-W02,3,KUAI Man,CHN,5605
2026-W02,4,CHEN Xingtong,CHN,5375
2026-W02,5,WANG Yidi,CHN,4275
2026-W02,6,Miwa HARIMOTO,JPN,4000
2026-W02,7,ZHU Yuling,MAC,3765
2026-W02,8,CHEN Yi,CHN,3570
2026-W02,9,Mima ITO,JPN,3250
2026-W02,10,Hina HAYATA,JPN,3100
2026-W03,1,SUN Yingsha,CHN,11600
2026-W03,2,WANG Manyu,CHN,8248
2026-W03,3,CHEN Xingtong,CHN,5725
2026-W03,4,KUAI Man,CHN,5455
2026-W03,5,ZHU Yuling,MAC,4590
2026-W03,6,WANG Yidi,CHN,4400
2026-W03,7,Miwa HARIMOTO,JPN,4000
2026-W03,8,CHEN Yi,CHN,3500
2026-W03,9,Mima ITO,JPN,3250
2026-W03,10,Hina HAYATA,JPN,3100
2026-W04,1,SUN Yingsha,CHN,11600
2026-W04,2,WANG Manyu,CHN,8248
2026-W04,3,CHEN Xingtong,CHN,5725
2026-W04,4,KUAI Man,CHN,5350
2026-W04,5,ZHU Yuling,MAC,4980
2026-W04,6,WANG Yidi,CHN,4400
2026-W04,7,Miwa HARIMOTO,JPN,4000
2026-W04,8,CHEN Yi,CHN,3535
2026-W04,9,Mima ITO,JPN,3250
2026-W04,10,Hina HAYATA,JPN,3100
2026-W05,1,SUN Yingsha,CHN,11600
2026-W05,2,WANG Manyu,CHN,8248
2026-W05,3,CHEN Xingtong,CHN,5725
2026-W05,4,KUAI Man,CHN,5350
2026-W05,5,ZHU Yuling,MAC,4980
2026-W05,6,WANG Yidi,CHN,4400
2026-W05,7,Miwa HARIMOTO,JPN,4000
2026-W05,8,CHEN Yi,CHN,3535
2026-W05,9,Mima ITO,JPN,3250
2026-W05,10,Hina HAYATA,JPN,3100
2026-W06,1,SUN Yingsha,CHN,11600
2026-W06,2,WANG Manyu,CHN,8248
2026-W06,3,CHEN Xingtong,CHN,5725
2026-W06,4,KUAI Man,CHN,5350
2026-W06,5,ZHU Yuling,MAC,4980
2026-W06,6,WANG Yidi,CHN,4400
2026-W06,7,Miwa HARIMOTO,JPN,4000
2026-W06,8,CHEN Yi,CHN,3535
2026-W06,9,Mima ITO,JPN,3250
2026-W06,10,Hina HAYATA,JPN,3100
2026-W07,1,SUN Yingsha,CHN,10125
2026-W07,2,WANG Manyu,CHN,8248
2026-W07,3,CHEN Xingtong,CHN,5375
2026-W07,4,ZHU Yuling,MAC,4790
2026-W07,5,KUAI Man,CHN,4125
2026-W07,6,Miwa HARIMOTO,JPN,4000
2026-W07,7,WANG Yidi,CHN,3875
2026-W07,8,CHEN Yi,CHN,3535
2026-W07,9,Mima ITO,JPN,2990
2026-W07,10,Hina HAYATA,JPN,2925
2026-W08,1,SUN Yingsha,CHN,10125
2026-W08,2,WANG Manyu,CHN,8248
2026-W08,3,CHEN Xingtong,CHN,5375
2026-W08,4,ZHU Yuling,MAC,4790
2026-W08,5,KUAI Man,CHN,4125
2026-W08,6,Miwa HARIMOTO,JPN,4000
2026-W08,7,WANG Yidi,CHN,3875
2026-W08,8,CHEN Yi,CHN,3535
2026-W08,9,Mima ITO,JPN,2990
2026-W08,10,Hina HAYATA,JPN,2925
2026-W09,1,SUN Yingsha,CHN,10125
2026-W09,2,WANG Manyu,CHN,8098
2026-W09,3,CHEN Xingtong,CHN,5375
2026-W09,4,ZHU Yuling,MAC,4790
2026-W09,5,KUAI Man,CHN,4125
2026-W09,6,Miwa HARIMOTO,JPN,4000
2026-W09,7,WANG Yidi,CHN,3875
2026-W09,8,CHEN Yi,CHN,3535
2026-W09,9,Mima ITO,JPN,2990
2026-W09,10,Hina HAYATA,JPN,2925
2026-W10,1,SUN Yingsha,CHN,11600
2026-W10,2,WANG Manyu,CHN,9148
2026-W10,3,CHEN Xingtong,CHN,5605
2026-W10,4,ZHU Yuling,MAC,4960
2026-W10,5,KUAI Man,CHN,4330
2026-W10,6,WANG Yidi,CHN,4280
2026-W10,7,CHEN Yi,CHN,4260
2026-W10,8,Miwa HARIMOTO,JPN,4230
2026-W10,9,Hina HAYATA,JPN,3330
2026-W10,10,Mima ITO,JPN,3280
2026-W11,1,SUN Yingsha,CHN,11600
2026-W11,2,WANG Manyu,CHN,9148
2026-W11,3,CHEN Xingtong,CHN,5605
2026-W11,4,ZHU Yuling,MAC,4960
2026-W11,5,KUAI Man,CHN,4330
2026-W11,6,WANG Yidi,CHN,4280
2026-W11,7,CHEN Yi,CHN,4260
2026-W11,8,Miwa HARIMOTO,JPN,4230
2026-W11,9,Hina HAYATA,JPN,3330
2026-W11,10,Mima ITO,JPN,3280
2026-W12,1,SUN Yingsha,CHN,11125
2026-W12,2,WANG Manyu,CHN,9148
2026-W12,3,CHEN Xingtong,CHN,5255
2026-W12,4,ZHU Yuling,MAC,4960
2026-W12,5,Miwa HARIMOTO,JPN,4880
2026-W12,6,KUAI Man,CHN,4855
2026-W12,7,CHEN Yi,CHN,4385
2026-W12,8,WANG Yidi,CHN,4380
2026-W12,9,Hina HAYATA,JPN,3330
2026-W12,10,Mima ITO,JPN,3280
2026-W13,1,SUN Yingsha,CHN,11125
2026-W13,2,WANG Manyu,CHN,9148
2026-W13,3,CHEN Xingtong,CHN,5255
2026-W13,4,ZHU Yuling,MAC,4960
2026-W13,5,Miwa HARIMOTO,JPN,4880
2026-W13,6,KUAI Man,CHN,4855
2026-W13,7,CHEN Yi,CHN,4385
2026-W13,8,WANG Yidi,CHN,4380
2026-W13,9,Hina HAYATA,JPN,3330
2026-W13,10,Mima ITO,JPN,3280
2026-W14,1,SUN Yingsha,CHN,11125
2026-W14,2,WANG Manyu,CHN,9148
2026-W14,3,CHEN Xingtong,CHN,5255
2026-W14,4,ZHU Yuling,MAC,4960
2026-W14,5,KUAI Man,CHN,4855
2026-W14,6,Miwa HARIMOTO,JPN,4630
2026-W14,7,CHEN Yi,CHN,4385
2026-W14,8,WANG Yidi,CHN,4380
2026-W14,9,Hina HAYATA,JPN,3330
2026-W14,10,Mima ITO,JPN,3280
2026-W15,1,SUN Yingsha,CHN,12100
2026-W15,2,WANG Manyu,CHN,9848
2026-W15,3,CHEN Xingtong,CHN,5005
2026-W15,4,KUAI Man,CHN,4980
2026-W15,5,ZHU Yuling,MAC,4820
2026-W15,6,Miwa HARIMOTO,JPN,4630
2026-W15,7,CHEN Yi,CHN,4385
2026-W15,8,WANG Yidi,CHN,3830
2026-W15,9,Sabine WINTER,GER,3537
2026-W15,10,Mima ITO,JPN,3405
2026-W16,1,SUN Yingsha,CHN,12100
2026-W16,2,WANG Manyu,CHN,9848
2026-W16,3,CHEN Xingtong,CHN,5005
2026-W16,4,KUAI Man,CHN,4980
2026-W16,5,ZHU Yuling,MAC,4715
2026-W16,6,Miwa HARIMOTO,JPN,4630
2026-W16,7,CHEN Yi,CHN,4385
2026-W16,8,WANG Yidi,CHN,3830
2026-W16,9,Sabine WINTER,GER,3537
2026-W16,10,Mima ITO,JPN,3405
2026-W17,1,SUN Yingsha,CHN,11125
2026-W17,2,WANG Manyu,CHN,9848
2026-W17,3,CHEN Xingtong,CHN,4830
2026-W17,4,ZHU Yuling,MAC,4715
2026-W17,5,Miwa HARIMOTO,JPN,4630
2026-W17,6,CHEN Yi,CHN,4385
2026-W17,7,KUAI Man,CHN,4105
2026-W17,8,WANG Yidi,CHN,3830
2026-W17,9,Sabine WINTER,GER,3537
2026-W17,10,Hina HAYATA,JPN,3330
2026-W18,1,SUN Yingsha,CHN,11125
2026-W18,2,WANG Manyu,CHN,9848
2026-W18,3,CHEN Xingtong,CHN,4830
2026-W18,4,ZHU Yuling,MAC,4715
2026-W18,5,Miwa HARIMOTO,JPN,4580
2026-W18,6,CHEN Yi,CHN,4385
2026-W18,7,KUAI Man,CHN,4105
2026-W18,8,WANG Yidi,CHN,3830
2026-W18,9,Sabine WINTER,GER,3537
2026-W18,10,SHIN Yubin,KOR,3285
2026-W19,1,SUN Yingsha,CHN,11125
2026-W19,2,WANG Manyu,CHN,9848
2026-W19,3,CHEN Xingtong,CHN,4830
2026-W19,4,ZHU Yuling,MAC,4715
2026-W19,5,Miwa HARIMOTO,JPN,4580
2026-W19,6,CHEN Yi,CHN,4385
2026-W19,7,KUAI Man,CHN,4105
2026-W19,8,WANG Yidi,CHN,3830
2026-W19,9,Sabine WINTER,GER,3537
2026-W19,10,SHIN Yubin,KOR,3285
2026-W20,1,SUN Yingsha,CHN,11350
2026-W20,2,WANG Manyu,CHN,9867
2026-W20,3,Miwa HARIMOTO,JPN,4839
2026-W20,4,CHEN Xingtong,CHN,4830
2026-W20,5,ZHU Yuling,MAC,4715
2026-W20,6,CHEN Yi,CHN,4385
2026-W20,7,KUAI Man,CHN,4263
2026-W20,8,WANG Yidi,CHN,3947
2026-W20,9,Sabine WINTER,GER,3785
2026-W20,10,Hina HAYATA,JPN,3415
2026-W21,1,SUN Yingsha,CHN,11350
2026-W21,2,WANG Manyu,CHN,9867
2026-W21,3,Miwa HARIMOTO,JPN,4839
2026-W21,4,CHEN Xingtong,CHN,4830
2026-W21,5,ZHU Yuling,MAC,4715
2026-W21,6,CHEN Yi,CHN,4385
2026-W21,7,KUAI Man,CHN,4263
2026-W21,8,WANG Yidi,CHN,3947
2026-W21,9,Sabine WINTER,GER,3785
2026-W21,10,Hina HAYATA,JPN,3415
2026-W22,1,SUN Yingsha,CHN,9875
2026-W22,2,WANG Manyu,CHN,8865
2026-W22,3,Miwa HARIMOTO,JPN,4839
2026-W22,4,ZHU Yuling,MAC,4715
2026-W22,5,CHEN Xingtong,CHN,4395
2026-W22,6,CHEN Yi,CHN,4385
2026-W22,7,KUAI Man,CHN,4263
2026-W22,8,WANG Yidi,CHN,3897
2026-W22,9,Sabine WINTER,GER,3785
2026-W22,10,SHIN Yubin,KOR,3303
2026-W23,1,SUN Yingsha,CHN,9875
2026-W23,2,WANG Manyu,CHN,8865
2026-W23,3,Miwa HARIMOTO,JPN,4839
2026-W23,4,ZHU Yuling,MAC,4715
2026-W23,5,CHEN Xingtong,CHN,4395
2026-W23,6,CHEN Yi,CHN,4385
2026-W23,7,KUAI Man,CHN,4263
2026-W23,8,WANG Yidi,CHN,3897
2026-W23,9,Sabine WINTER,GER,3785
2026-W23,10,SHIN Yubin,KOR,3303
2026-W24,1,SUN Yingsha,CHN,9875
2026-W24,2,WANG Manyu,CHN,8865
2026-W24,3,Miwa HARIMOTO,JPN,4839
2026-W24,4,ZHU Yuling,MAC,4715
2026-W24,5,CHEN Xingtong,CHN,4395
2026-W24,6,CHEN Yi,CHN,4385
2026-W24,7,KUAI Man,CHN,4263
2026-W24,8,WANG Yidi,CHN,3897
2026-W24,9,Sabine WINTER,GER,3785
2026-W24,10,Satsuki ODO,JPN,3380
