week,rank,name,assoc,points
2026-W29,1,WANG Chuqin,CHN,9177
2026-W29,2,Truls MOREGARD,SWE,6950
2026-W29,3,Sora MATSUSHIMA,JPN,6298
2026-W29,4,Felix LEBRUN,FRA,5779
2026-W29,5,Tomokazu HARIMOTO,JPN,5313
2026-W29,6,LIN Shidong,CHN,4862
2026-W29,7,LIN Yun-Ju,TPE,4405
2026-W29,8,Hugo CALDERANO,BRA,4060
2026-W29,9,JANG Woojin,KOR,3231
2026-W29,10,Dang QIU,GER,3093
